IQ,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,branch_encoded,KT,CGPA_Final,Placement
100.0,5.814012374483305,1,6.154022541694342,4.842361765466148,2,4,2,6.653333333333333,1
120.0,3.7129473750909057,0,3.593548620862979,2.0,3,1,3,1.66,1
117.0,3.0,1,6.0,7.0,0,3,6,6.635,1
127.0,5.0,1,4.0,3.0574801974633683,2,0,3,6.86,0
102.0,8.0,1,1.0,5.3353263047473725,2,2,3,5.57,0
100.0,4.984848238132685,0,4.840703652253435,4.918944140643381,2,2,3,5.56,0
118.0,5.0,0,9.0,1.0,5,1,1,3.8575,0
95.0,4.0,1,1.0,7.0,0,4,8,8.899999999999999,0
100.0,5.243874920617262,0,4.836638731239098,5.109552647913674,2,2,3,6.93,0
122.0,6.511657994647393,1,4.617770233734692,4.65727425038213,2,2,3,7.4719999999999995,1
102.0,10.0,0,8.0,10.0,5,1,4,7.75,0
130.0,1.0,0,10.0,9.0,0,2,6,5.05,1
114.0,4.718393515244852,0,4.073867931302598,6.0,0,1,3,6.45,0
92.0,6.835755563308741,1,5.9730396865681,10.0,2,1,3,5.0025,0
100.0,5.132744435384932,1,4.952178209408586,4.7492646608113365,2,2,2,6.046666666666667,0
89.0,5.361603289948807,0,4.591039458374155,8.0,3,2,5,7.96,0
94.0,8.332921372092784,0,7.0,8.0,4,4,4,6.550000000000001,1
109.0,3.495812178260529,0,4.083324815768929,1.0,3,2,1,4.8,1
90.0,7.518566112288578,1,3.0,8.0,3,1,3,5.1125,0
108.0,9.0,0,3.045169572011293,4.0,0,4,0,7.337999999999999,0
73.0,9.0,0,0.7887748838383821,10.0,0,1,2,8.28,1
104.0,4.9731328536797115,1,4.827961150581043,5.604596407561065,3,2,3,5.14,1
113.0,1.6258740746031606,1,10.0,1.0,2,3,2,6.837142857142857,0
103.0,5.113290967105414,0,4.634539857786283,6.037686884057379,3,0,1,7.345000000000001,1
104.0,5.245036460448201,1,4.095832126312761,6.476710039790959,3,2,5,6.935,1
104.0,4.899213538513383,0,4.741844636985011,5.763425877414491,3,1,3,4.7,1
85.0,3.946597656180632,1,4.417052711898521,9.0,0,2,3,7.446000000000001,0
106.0,4.5200523845857035,1,2.0,3.0,2,2,3,4.8725000000000005,1
93.0,7.0111522361082415,0,5.0,9.0,2,1,0,7.68,1
80.0,4.83036402709881,0,3.0,6.0,2,1,1,6.07,0
102.0,5.141845266272718,0,5.3250094836395085,5.0,2,4,4,5.243333333333333,1
105.0,7.0,1,1.0,5.561421303556745,3,1,3,6.7075,1
104.0,4.328753488459405,0,10.0,7.277722192444973,2,2,0,9.03,1
77.0,0.19965971176404196,1,2.039581426583535,1.0,4,1,3,1.46,0
105.0,3.5816626449521785,0,6.0,3.0,3,1,2,4.71,0
101.0,5.8003409914824395,1,2.0,4.7223814607214845,2,1,3,7.95,0
96.0,3.0,0,2.380403090141243,1.0,3,1,2,6.39,0
92.0,1.0,0,8.169498150009268,9.0,2,1,6,7.5,0
73.0,4.328278443297535,0,1.0,4.610843472608311,2,3,3,6.109999999999999,0
76.0,4.0,1,6.0,8.212155077096583,4,0,2,7.3625,0
103.0,4.0,1,1.0,5.046624945704746,2,0,3,7.88,1
113.0,2.714360407966602,1,3.1660756012506894,4.0,1,2,5,5.33,1
114.0,1.0,0,6.66331842006856,4.0,0,1,0,8.7,1
109.0,6.0,0,3.8740855161539365,6.899089446952363,1,2,3,6.81,1
80.0,3.0,1,5.0,0.3833046774293294,5,4,4,4.322,0
100.0,2.0,1,4.982651409428094,4.657200136907978,2,2,3,7.052,1
90.0,3.0,0,0.0,1.173066597170095,0,4,3,7.08,0
98.0,4.924972507620659,0,5.5829118474316815,4.185934024732962,2,1,0,4.8999999999999995,0
107.0,3.0,0,4.387833972627167,3.802130943000165,1,1,2,5.6,0
104.0,4.132161156538281,0,10.0,8.433617402720472,3,1,5,6.71,0
104.0,5.230821939504324,1,6.0,6.171935974881109,3,2,3,6.7,1
105.0,4.197983064083413,0,5.137485454510188,2.0,2,4,3,6.24,1
120.0,0.0,1,6.362003379943822,2.0,0,1,3,7.105,0
96.0,1.0,1,5.136380849055712,2.9423049317006313,1,1,2,1.7,0
102.0,1.0,0,4.241499597583985,5.028967225560663,2,1,5,5.312,1
102.0,5.822042694694819,0,1.0,7.0,2,1,5,6.78,1
104.0,7.0,1,6.0,6.135244740474407,4,1,3,5.76,0
98.0,4.0,0,9.0,5.495071975671541,4,1,2,8.63,0
107.0,2.0,0,7.120675667781008,1.8882046956433225,4,3,6,8.19,0
80.0,8.0,0,3.924230062964007,9.709823393610954,1,4,4,8.815000000000001,0
120.0,7.0,0,4.77556518919539,4.021586999010239,2,2,3,7.673333333333335,0
104.0,3.8652833513045053,1,5.0,5.896598731266735,1,1,2,6.51,0
97.0,6.070857543866268,1,0.0,2.7348516991109193,1,3,3,6.09,0
98.0,5.094142755722764,0,6.0,8.51,3,1,5,6.125,0
105.0,8.0,1,6.413321387119833,6.088467710659106,4,4,5,8.49,1
96.0,5.0,0,6.0,4.459390486777309,4,1,3,6.29,0
104.0,8.0,0,3.9665501173490867,6.867943298227358,3,1,4,9.64,0
102.0,7.0,0,9.0,9.0,0,3,1,6.901666666666667,0
107.0,5.0,0,4.0448566898905725,6.455002325447829,1,2,3,6.68,1
94.0,6.0,1,5.657661758502581,9.0,2,1,4,6.517142857142858,0
125.0,10.0,0,0.0,5.0,3,2,5,6.574000000000001,1
108.0,7.0,1,10.0,7.294838585296979,4,2,4,5.0025,0
95.0,5.336549802659647,1,5.853018665025857,6.193124375491067,2,4,4,7.728,1
108.0,6.582635776514689,1,10.0,9.0,3,1,3,7.5375,0
88.0,8.0,1,4.493608966729422,8.758198094880406,4,2,3,8.610000000000001,1
